,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
175,2014, מאזדה 3,130000,2,1496,שחור,אזור נס ציונה - רחובות,אוטומטית,49000.0,0,0,0
176,2007, מאזדה 6,215000,3,2261,שחור מטאלי,אזור מושבים בשפלה,אוטומטית,16990.0,1,0,0
177,2021, מאזדה 3,20000,2,1998,שחור מטאלי,אזור מושבים בשפלה,אוטומטית,130000.0,0,1,0
178,2016, מאזדה 6,130000,2,1998,שחור,אזור זכרון - בנימינה,אוטומטית,75000.0,0,0,0
179,2011, מאזדה 3,180000,3,1598,כסוף,אזור ירושלים והסביבה,אוטומטית,22000.0,0,0,0
180,2009, מאזדה 6,199000,2,1999,אפור,אזור פתח תקוה והסביבה,אוטומטית,20000.0,0,0,0
181,2016, מאזדה 5,200000,2,1999,כחול מטאלי,אזור מושבים בצפון,אוטומטית,49900.0,0,1,0
182,2016, מאזדה 3,135000,3,1496,כסוף,אזור ירושלים והסביבה,אוטומטית,58000.0,1,1,0
183,2012, מאזדה 5,227000,2,1999,אפור מטאלי,אזור ירושלים והסביבה,אוטומטית,31000.0,0,0,0
184,2014, מאזדה 3,125000,3,1496,לבן,אזור באר שבע והסביבה,אוטומטית,54000.0,0,0,0
185,2016, מאזדה 3,106000,3,1998,שחור,אזור עמק יזרעאל,אוטומטית,67000.0,0,1,0
186,2012, מאזדה 3,174000,3,1999,לבן,אזור נס ציונה - רחובות,אוטומטית,35000.0,0,0,0
187,2015, מאזדה 6,58500,2,1998,לבן פנינה,אזור קריות,אוטומטית,70000.0,0,0,0
188,2014, מאזדה 3,150000,2,1496,שחור,אזור בית שמש והסביבה,אוטומטית,60000.0,0,1,0
189,2014, מאזדה 3,150000,2,1496,לבן,אזור חדרה וישובי עמק חפר,אוטומטית,47000.0,0,0,0
190,2006, מאזדה 5,128000,1,1999,לבן,אזור זכרון - בנימינה,אוטומטית,26000.0,0,1,0
191,2010, מאזדה 6,155000,3,1999,כסוף,אזור מושבים בדרום,אוטומטית,26000.0,0,0,0
192,2006, מאזדה 3,246000,5,1598,אפור מטאלי,אזור ירושלים והסביבה,אוטומטית,10500.0,1,0,1
193,2008, מאזדה 3,199000,4,1999,שחור,אזור גדרה יבנה והסביבה,אוטומטית,18500.0,1,1,0
194,2021, מאזדה 3,16000,2,1998,כסוף,אזור גדרה יבנה והסביבה,אוטומטית,127000.0,0,0,0
195,2017, מאזדה 3,61000,3,1998,לבן פנינה,אזור באר שבע והסביבה,אוטומטית,79000.0,1,1,0
196,2007, מאזדה 5,240000,4,1999,ירוק בקבוק,אזור חולון - בת ים,אוטומטית,10000.0,0,0,0
197,2011, מאזדה 3,157000,3,1598,אפור עכבר,אזור פתח תקוה והסביבה,אוטומטית,24000.0,1,1,0
198,2012, מאזדה 5,230000,2,1999,כחול בהיר מטאלי,אזור יישובי השומרון,אוטומטית,37000.0,1,1,0
199,2014, מאזדה 3,100000,3,1998,אפור עכבר,אזור ירושלים והסביבה,אוטומטית,NaN,1,0,1
200,2020, טויוטה אייגו,6200,1,998,אפור מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,66000.0,1,1,0
201,2012, טויוטה יאריס,229000,1,1300,אדום מטאלי,אזור זכרון - בנימינה,ידנית,29500.0,1,0,1
202,2016, טויוטה אוריס,198000,1,1798,פרטית,אזור הוד השרון והסביבה,אוטומטית,58000.0,1,1,0
203,2019, טויוטה C-HR,24500,1,1798,אפור מטאלי,אזור רמת השרון - הרצליה,אוטומטית,137500.0,0,1,0
204,2020, טויוטה קורולה,54000,1,1798,לבן,אזור חיפה וחוף הכרמל,אוטומטית,109500.0,1,1,0
205,2015, טויוטה יאריס,53653,1,1300,אפור מטאלי,"אזור ראשל""צ והסביבה",אוטומטית,62000.0,1,1,0
206,2015, טויוטה אוריס,120000,2,1798,אפור עכבר,אזור בית שמש והסביבה,אוטומטית,64000.0,1,1,0
207,2009, טויוטה קורולה,16400,3,1600,כסוף מטאלי,אזור ירושלים והסביבה,אוטומטית,30000.0,0,1,0
208,2015, טויוטה ספייס ורסו,160000,2,1329,כסוף,אזור מושבים בשפלה,אוטומטית,31500.0,0,1,0
209,2011, טויוטה ספייס ורסו,111000,3,1329,פרטית,אזור יישובי השומרון,אוטומטית,29500.0,0,1,1
210,2006, טויוטה,300000,3,1600,פרטית,אזור רמלה - לוד,אוטומטית,13000.0,0,0,0
211,2004, טויוטה קורולה,208000,4,1598,אפור,אזור ירושלים והסביבה,אוטומטית,11000.0,0,0,0
212,2020, טויוטה קורולה,29000,1,1800,אפור מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,123000.0,0,0,0
213,2009, טויוטה פריוס,219000,3,1490,שחור,אזור יישובי השומרון,אוטומטית,26000.0,1,1,0
214,2004, טויוטה קורולה,152000,4,1600,אפור מטאלי,אזור רמת גן - גבעתיים,אוטומטית,14999.0,1,1,0
215,2003, טויוטה קורולה,129000,3,1598,אפור מטאלי,אזור ירושלים והסביבה,אוטומטית,12200.0,0,1,0
216,2006, טויוטה קורולה,213000,3,1600,כסוף מטאלי,אזור באר שבע והסביבה,אוטומטית,21000.0,1,0,1
217,2006, טויוטה קורולה,189000,4,1600,כסוף מטאלי,אזור פתח תקוה והסביבה,אוטומטית,19000.0,0,1,0
218,2011, טויוטה אוונסיס,161000,2,2000,שחור מטאלי,אזור תל אביב,אוטומטית,29000.0,0,0,0
219,2005, טויוטה קאמרי,243000,4,2400,שחור,אזור רמת גן - גבעתיים,אוטומטית,16700.0,1,0,0
220,2001, טויוטה יאריס,257000,2,1298,ירוק בהיר,אזור תל אביב,אוטומטית,6500.0,1,0,1
221,2012, טויוטה אייגו,148000,1,998,שחור,אזור ירושלים והסביבה,אוטומטית,18000.0,1,0,0
222,2013, טויוטה קורולה,139000,2,1598,לבן פנינה,אזור רמלה - לוד,אוטומטית,56500.0,0,1,0
223,2004, טויוטה קורולה,152000,4,1598,כסף מטלי,אזור רמת גן - גבעתיים,אוטומטית,14900.0,1,1,0
224,2013, טויוטה אוריס,135000,1,1798,לבן מטאלי,אזור תל אביב,אוטומטית,53000.0,1,1,0
225,2021, טויוטה קורולה,25000,2,1798,כסוף מטאלי,אזור ירושלים והסביבה,אוטומטית,135000.0,0,0,0
226,2013, טויוטה יאריס,189000,2,1329,אדום,אזור נתניה והסביבה,אוטומטית,32500.0,0,0,1
227,2017, טויוטה ספייס ורסו,188000,3,1798,כסוף,אזור ירושלים והסביבה,אוטומטית,75000.0,0,1,0
